Fold,time_mav,time_zero_crossing_rate,freq_low_high_ratio,chaos_rqa_entr,chaos_rqa_v_entr,chaos_dfa_exp,traditional_rms,traditional_mnf
1,0.08768545407476809,0.26373719305917936,0.0499965170635043,0.14002580810014803,0.1325031072948803,0.14072294362928667,0.0999627011076988,0.08536627567053438
2,0.05729662171394763,0.24597351730071618,0.09548505591822984,0.1157968637833033,0.18228298990407257,0.10788566838205749,0.07031784780993187,0.12496143518774114
3,0.06968330154964894,0.2595967391754598,0.10347728400793543,0.09553093500307122,0.14432281880286735,0.1621320657823584,0.06751531100670269,0.09774154467195618
4,0.09409084037082957,0.25159413138686093,0.06603611373805353,0.06754131733153552,0.17078298876751294,0.16023254285441907,0.027044345133030546,0.16267772041775788
5,0.08782185141712266,0.2547279604081054,0.10132144046504592,0.12069452002910228,0.15603992786082874,0.10472729063795513,0.04698167655552967,0.12768533262631018
