,time_mav,time_zero_crossing_rate,freq_low_high_ratio,traditional_rms,traditional_mnf
Fold_1,0.14360303,0.2534564,0.24021436,0.13853708,0.22418913
Fold_2,0.15351257,0.25273257,0.21697378,0.18780768,0.18897341
Fold_3,0.12708978,0.31806755,0.25220037,0.13160676,0.1710355
Fold_4,0.15367532,0.32000297,0.2393055,0.15480253,0.13221368
Fold_5,0.119010374,0.31260765,0.17687963,0.14824913,0.24325317
