,time_mav,time_zero_crossing_rate,freq_low_high_ratio,chaos_rqa_entr,chaos_rqa_v_entr,traditional_rms,traditional_mnf
Fold_1,0.20811962,0.22513859,0.10563171,0.07416606,0.10447732,0.18780622,0.09466049
Fold_2,0.20669486,0.18432853,0.15737046,0.19431843,0.112235904,0.0,0.14505182
Fold_3,0.1972522,0.2360189,0.18139754,0.09268379,0.08734618,0.11611531,0.089186095
Fold_4,0.18568985,0.28895298,0.10609612,0.07598758,0.10091558,0.1101148,0.1322431
Fold_5,0.2662661,0.2144918,0.119763695,0.08094776,0.11810698,0.08849886,0.111924745
