Feature,Mean_Importance,Std_Importance,CV,Min_Importance,Max_Importance
traditional_rms,0.6913466091347124,0.09066026305753809,0.1311357600464616,0.5861845652902189,0.8383752026188601
time_zero_crossing_rate,0.6763758063209332,0.10193233742261593,0.1507037011894239,0.5782485714945625,0.8620953217326399
freq_low_high_ratio,0.6497187162173612,0.24358284828378934,0.3749050814857687,0.3538478382457972,0.999862683844217
chaos_rqa_v_entr,0.43396684639785804,0.06439599218817331,0.14838919771833572,0.3252497809880953,0.5081243335461508
chaos_rqa_entr,0.33959854119227806,0.1276155199133132,0.3757834748868369,0.15342080608428896,0.5282343321713785
time_mav,0.24520044739927305,0.05099932519291454,0.20799034305622846,0.17573651022319187,0.31373206530545256
traditional_mnf,0.15354396405518328,0.0790077408430742,0.5145610332375092,0.0736844994939807,0.2734304676532737
