Feature,Mean_Importance,Std_Importance,CV,Min_Importance,Max_Importance
time_zero_crossing_rate,0.21994502328948876,0.027173304301059076,0.12354589288860307,0.18380174382924483,0.2540649096151345
time_mav,0.17496392674005484,0.030067760456932928,0.17185119812965613,0.1411836288067298,0.22060955592995826
traditional_rms,0.13789323758901148,0.007573750681941138,0.054924743293228794,0.1298300983427623,0.15229238239043216
freq_low_high_ratio,0.13138088262772435,0.013512165868022742,0.10284727570315957,0.10849136117626662,0.14895946952688752
traditional_mnf,0.11824251504767394,0.018486759352325504,0.15634612752644222,0.0919389468690973,0.14687216227870872
chaos_rqa_entr,0.10906378642199721,0.017911112085813616,0.16422602457692134,0.08532427054162034,0.13654467122604302
chaos_rqa_v_entr,0.10851062828404952,0.014368273949528155,0.13241351712271732,0.08800807516259126,0.1322116597559633
