,time_mav,time_zero_crossing_rate,freq_low_high_ratio,traditional_rms,traditional_mnf
Fold_1,0.24651995,0.3170153,0.1502319,0.19617847,0.09005437
Fold_2,0.25081962,0.20800707,0.20457032,0.1209776,0.21562535
Fold_3,0.25369886,0.27390516,0.19871467,0.17671862,0.09696275
Fold_4,0.23018257,0.38358024,0.160626,0.077610545,0.14800069
Fold_5,0.29889148,0.28202197,0.1702788,0.11639932,0.13240838
